country,year,greenhouse_gas_emissions,agricultural_land,methane_emissions,arable_land,agricultural_irrigated_land,forest_area,population_growth,urban_population,GDP
Azerbaijan,1992,82319.9996948242,,,,,,,,
Azerbaijan,1991,73239.9978637695,,,,,,,,
Azerbaijan,1990,75680.0,,,,,,,,
United Kingdom,2020,,,,,,,,,
United Kingdom,2019,440079.986572266,,,,,,,,
United Kingdom,2018,453429.992675781,,,,,,,,
United Kingdom,2017,461609.985351563,,,,,,,,
United Kingdom,2016,476540.008544922,,,,,,,,
United Kingdom,2015,496299.987792969,,,,,,,,
United Kingdom,2014,511660.003662109,,,,,,,,
United Kingdom,2013,551159.973144531,,,,,,,,
United Kingdom,2012,568539.978027344,,,,,,,,
United Kingdom,2011,548390.014648438,,,,,,,,
United Kingdom,2010,591320.007324219,,,,,,,,
United Kingdom,2009,578809.997558594,,,,,,,,
United Kingdom,2008,634809.997558594,,,,,,,,
United Kingdom,2007,655179.992675781,,,,,,,,
United Kingdom,2006,670489.990234375,,,,,,,,
United Kingdom,2005,673969.970703125,,,,,,,,
United Kingdom,2004,679869.995117188,,,,,,,,
United Kingdom,2003,685039.978027344,,,,,,,,
United Kingdom,2002,676109.985351563,,,,,,,,
United Kingdom,2001,694260.009765625,,,,,,,,
United Kingdom,2000,685570.007324219,,,,,,,,
United Kingdom,1999,683409.973144531,,,,,,,,
United Kingdom,1998,707369.995117188,,,,,,,,
United Kingdom,1997,709650.024414063,,,,,,,,
United Kingdom,1996,729559.997558594,,,,,,,,
United Kingdom,1995,708039.978027344,,,,,,,,
United Kingdom,1994,715940.002441406,,,,,,,,
United Kingdom,1993,718739.990234375,,,,,,,,
United Kingdom,1992,737289.978027344,,,,,,,,
United Kingdom,1991,755150.024414063,,,,,,,,
United Kingdom,1990,746350.0,,,,,,,,
India,2020,,,,,,,,,
India,2019,3394870.1171875,,,,,,,,
India,2018,3388909.91210938,,,,,,,,
India,2017,3242169.921875,,,,,,,,
India,2016,3106340.08789063,,,,,,,,
India,2015,3064540.0390625,,,,,,,,
India,2014,3044959.9609375,,,,,,,,
India,2013,2863840.08789063,,,,,,,,
India,2012,2795860.10742188,,,,,,,,
India,2011,2645629.8828125,,,,,,,,
India,2010,2533989.99023438,,,,,,,,
India,2009,2423800.04882813,,,,,,,,
India,2008,2281000.0,,,,,,,,
India,2007,2180790.0390625,,,,,,,,
India,2006,2037300.04882813,,,,,,,,
India,2005,1940030.02929688,,,,,,,,
India,2004,1866489.99023438,,,,,,,,
India,2003,1779369.99511719,,,,,,,,
India,2002,1738530.02929688,,,,,,,,
India,2001,1719689.94140625,,,,,,,,
India,2000,1697229.98046875,,,,,,,,
India,1999,1658410.03417969,,,,,,,,
India,1998,1581959.9609375,,,,,,,,
India,1997,1551530.02929688,,,,,,,,
India,1996,1492170.04394531,,,,,,,,
India,1995,1440609.98535156,,,,,,,,
India,1994,1375469.97070313,,,,,,,,
India,1993,1331219.97070313,,,,,,,,
India,1992,1298280.02929688,,,,,,,,
India,1991,1273250.0,,,,,,,,
India,1990,1219550.0,,,,,,,,
"Iran, Islamic Rep.",2020,,,,,,,,,
"Iran, Islamic Rep.",2019,893719.970703125,,,,,,,,
"Iran, Islamic Rep.",2018,925520.01953125,,,,,,,,
"Iran, Islamic Rep.",2017,912710.021972656,,,,,,,,
"Iran, Islamic Rep.",2016,880989.990234375,,,,,,,,
"Iran, Islamic Rep.",2015,844140.014648438,,,,,,,,
"Iran, Islamic Rep.",2014,844130.004882813,,,,,,,,
"Iran, Islamic Rep.",2013,815309.997558594,,,,,,,,
"Iran, Islamic Rep.",2012,793950.012207031,,,,,,,,
"Iran, Islamic Rep.",2011,793619.995117188,,,,,,,,
"Iran, Islamic Rep.",2010,781820.007324219,,,,,,,,
"Iran, Islamic Rep.",2009,778669.982910156,,,,,,,,
"Iran, Islamic Rep.",2008,755559.997558594,,,,,,,,
"Iran, Islamic Rep.",2007,747390.014648438,,,,,,,,
"Iran, Islamic Rep.",2006,711479.98046875,,,,,,,,
"Iran, Islamic Rep.",2005,668609.985351563,,,,,,,,
"Iran, Islamic Rep.",2004,629770.01953125,,,,,,,,
"Iran, Islamic Rep.",2003,593179.992675781,,,,,,,,
"Iran, Islamic Rep.",2002,557000.0,,,,,,,,
"Iran, Islamic Rep.",2001,541859.985351563,,,,,,,,
"Iran, Islamic Rep.",2000,527419.982910156,,,,,,,,
"Iran, Islamic Rep.",1999,499730.010986328,,,,,,,,
"Iran, Islamic Rep.",1998,462130.004882813,,,,,,,,
"Iran, Islamic Rep.",1997,459709.991455078,,,,,,,,
"Iran, Islamic Rep.",1996,440679.992675781,,,,,,,,
"Iran, Islamic Rep.",1995,425730.010986328,,,,,,,,
"Iran, Islamic Rep.",1994,415220.001220703,,,,,,,,
"Iran, Islamic Rep.",1993,382809.997558594,,,,,,,,
"Iran, Islamic Rep.",1992,374790.008544922,,,,,,,,
"Iran, Islamic Rep.",1991,352980.010986328,,,,,,,,
"Iran, Islamic Rep.",1990,324620.0,,,,,,,,
Kuwait,2020,,,,,,,,,
Kuwait,2019,136690.002441406,,,,,,,,
Kuwait,2018,133839.996337891,,,,,,,,
Kuwait,2017,131100.006103516,,,,,,,,
Kuwait,2016,131720.001220703,,,,,,,,
Kuwait,2015,125980.003356934,,,,,,,,
Kuwait,2014,121110.000610352,,,,,,,,
Kuwait,2013,121870.002746582,,,,,,,,
Kuwait,2012,117629.997253418,,,,,,,,
Kuwait,2011,113059.997558594,,,,,,,,
Kuwait,2010,107360.000610352,,,,,,,,
Kuwait,2009,103190.002441406,,,,,,,,
Kuwait,2008,102940.002441406,,,,,,,,
Kuwait,2007,96010.0021362305,,,,,,,,
Kuwait,2006,97989.9978637695,,,,,,,,
Kuwait,2005,94349.9984741211,,,,,,,,
Kuwait,2004,85099.9984741211,,,,,,,,
Kuwait,2003,79930.0003051758,,,,,,,,
Kuwait,2002,74790.0009155273,,,,,,,,
Kuwait,2001,72919.9981689453,,,,,,,,
Kuwait,2000,69830.0018310547,,,,,,,,
Kuwait,1999,63990.0016784668,,,,,,,,
Kuwait,1998,61229.9995422363,,,,,,,,
Kuwait,1997,56459.9990844727,,,,,,,,
Kuwait,1996,53880.0010681152,,,,,,,,
Kuwait,1995,53830.0018310547,,,,,,,,
Kuwait,1994,54009.9983215332,,,,,,,,
Kuwait,1993,46349.9984741211,,,,,,,,
Kuwait,1992,32099.9984741211,,,,,,,,
Kuwait,1991,10609.9996566772,,,,,,,,
Kuwait,1990,39060.0,,,,,,,,
New Zealand,2020,,,,,,,,,
New Zealand,2019,83199.9969482422,,,,,,,,
New Zealand,2018,81809.9975585938,,,,,,,,
New Zealand,2017,82440.0024414063,,,,,,,,
New Zealand,2016,80809.9975585938,,,,,,,,
New Zealand,2015,82190.0024414063,,,,,,,,
New Zealand,2014,82330.0018310547,,,,,,,,
New Zealand,2013,81800.0030517578,,,,,,,,
New Zealand,2012,82180.0003051758,,,,,,,,
New Zealand,2011,79620.002746582,,,,,,,,
New Zealand,2010,80059.9975585938,,,,,,,,
New Zealand,2009,80250.0,,,,,,,,
New Zealand,2008,83059.9975585938,,,,,,,,
New Zealand,2007,83209.9990844727,,,,,,,,
New Zealand,2006,84330.0018310547,,,,,,,,
New Zealand,2005,84150.0015258789,,,,,,,,
New Zealand,2004,82680.0003051758,,,,,,,,
New Zealand,2003,84019.9966430664,,,,,,,,
New Zealand,2002,81529.9987792969,,,,,,,,
New Zealand,2001,79879.997253418,,,,,,,,
New Zealand,2000,77199.9969482422,,,,,,,,
New Zealand,1999,77010.0021362305,,,,,,,,
New Zealand,1998,74760.0021362305,,,,,,,,
New Zealand,1997,76400.0015258789,,,,,,,,
New Zealand,1996,73900.0015258789,,,,,,,,
New Zealand,1995,73540.0009155273,,,,,,,,
New Zealand,1994,72300.0030517578,,,,,,,,
New Zealand,1993,70809.9975585938,,,,,,,,
New Zealand,1992,71620.002746582,,,,,,,,
New Zealand,1991,70790.0009155273,,,,,,,,
New Zealand,1990,71130.0,,,,,,,,
Pakistan,2020,,,,,,,,,
Pakistan,2019,432500.0,,,,,,,,
Pakistan,2018,421619.995117188,,,,,,,,
Pakistan,2017,425920.013427734,,,,,,,,
Pakistan,2016,399109.985351563,,,,,,,,
Pakistan,2015,374510.009765625,,,,,,,,
Pakistan,2014,360109.985351563,,,,,,,,
Pakistan,2013,346880.004882813,,,,,,,,
Pakistan,2012,335269.989013672,,,,,,,,
Pakistan,2011,331209.991455078,,,,,,,,
Pakistan,2010,322350.006103516,,,,,,,,
Pakistan,2009,328279.998779297,,,,,,,,
Pakistan,2008,317670.013427734,,,,,,,,
Pakistan,2007,315220.001220703,,,,,,,,
Pakistan,2006,297760.009765625,,,,,,,,
Pakistan,2005,278290.008544922,,,,,,,,
Pakistan,2004,269649.993896484,,,,,,,,
Pakistan,2003,251929.992675781,,,,,,,,
Pakistan,2002,242589.996337891,,,,,,,,
Pakistan,2001,236220.001220703,,,,,,,,
Pakistan,2000,232809.997558594,,,,,,,,
Pakistan,1999,230500.0,,,,,,,,
Pakistan,1998,217490.005493164,,,,,,,,
Pakistan,1997,213710.006713867,,,,,,,,
Pakistan,1996,207029.998779297,,,,,,,,
Pakistan,1995,199940.002441406,,,,,,,,
Pakistan,1994,189169.998168945,,,,,,,,
Pakistan,1993,182539.993286133,,,,,,,,
Pakistan,1992,172789.993286133,,,,,,,,
Pakistan,1991,163210.006713867,,,,,,,,
Pakistan,1990,159850.0,,,,,,,,
Qatar,2020,,,,,,,,,
Qatar,2019,114760.00213623,,,,,,,,
Qatar,2018,109180.000305176,,,,,,,,
Qatar,2017,110059.997558594,,,,,,,,
Qatar,2016,109370.002746582,,,,,,,,
Qatar,2015,106790.000915527,,,,,,,,
Qatar,2014,103589.996337891,,,,,,,,
Qatar,2013,98529.9987792969,,,,,,,,
Qatar,2012,96610.0006103516,,,,,,,,
Qatar,2011,88220.0012207031,,,,,,,,
Qatar,2010,78529.9987792969,,,,,,,,
Qatar,2009,69559.9975585938,,,,,,,,
Qatar,2008,67809.9975585938,,,,,,,,
Qatar,2007,63229.9995422363,,,,,,,,
Qatar,2006,55810.001373291,,,,,,,,
Qatar,2005,49700.0007629395,,,,,,,,
Qatar,2004,48259.9983215332,,,,,,,,
Qatar,2003,44950.0007629395,,,,,,,,
Qatar,2002,41400.0015258789,,,,,,,,
Qatar,2001,37540.0009155273,,,,,,,,
Qatar,2000,38000.0,,,,,,,,
Qatar,1999,37400.0015258789,,,,,,,,
Qatar,1998,34450.0007629395,,,,,,,,
Qatar,1997,33130.0010681152,,,,,,,,
Qatar,1996,26479.9995422363,,,,,,,,
Qatar,1995,24010.0002288818,,,,,,,,
Qatar,1994,23299.9992370605,,,,,,,,
Qatar,1993,20809.9994659424,,,,,,,,
Qatar,1992,18020.0004577637,,,,,,,,
Qatar,1991,18430.0003051758,,,,,,,,
Qatar,1990,15380.0,,,,,,,,
Turkiye,2020,,,,,,,,,
Turkiye,2019,488470.001220703,,,,,,,,
Turkiye,2018,499290.008544922,,,,,,,,
Turkiye,2017,500910.003662109,,,,,,,,
Turkiye,2016,459000.0,,,,,,,,
Turkiye,2015,432040.008544922,,,,,,,,
Turkiye,2014,424700.012207031,,,,,,,,
Turkiye,2013,399450.012207031,,,,,,,,
Turkiye,2012,408589.996337891,,,,,,,,
Turkiye,2011,393040.008544922,,,,,,,,
Turkiye,2010,370450.012207031,,,,,,,,
Turkiye,2009,360459.991455078,,,,,,,,
Turkiye,2008,357380.004882813,,,,,,,,
Turkiye,2007,360250.0,,,,,,,,
Turkiye,2006,330640.014648438,,,,,,,,
Turkiye,2005,301420.013427734,,,,,,,,
Turkiye,2004,288959.991455078,,,,,,,,
Turkiye,2003,282950.012207031,,,,,,,,
Turkiye,2002,271450.012207031,,,,,,,,
Turkiye,2001,261179.992675781,,,,,,,,
Turkiye,2000,283079.986572266,,,,,,,,
Turkiye,1999,259130.004882813,,,,,,,,
Turkiye,1998,259250.0,,,,,,,,
Turkiye,1997,258029.998779297,,,,,,,,
Turkiye,1996,249039.993286133,,,,,,,,
Turkiye,1995,231330.001831055,,,,,,,,
Turkiye,1994,216830.001831055,,,,,,,,
Turkiye,1993,221669.998168945,,,,,,,,
Turkiye,1992,215380.004882813,,,,,,,,
Turkiye,1991,207889.999389648,,,,,,,,
Turkiye,1990,205440.0,,,,,,,,
Ukraine,2020,,,,,,,,,
Ukraine,2019,233259.994506836,,,,,,,,
Ukraine,2018,244839.996337891,,,,,,,,
Ukraine,2017,233339.996337891,,,,,,,,
Ukraine,2016,259410.003662109,,,,,,,,
Ukraine,2015,247550.003051758,,,,,,,,
Ukraine,2014,297019.989013672,,,,,,,,
Ukraine,2013,331260.009765625,,,,,,,,
Ukraine,2012,335940.002441406,,,,,,,,
Ukraine,2011,343290.008544922,,,,,,,,
Ukraine,2010,327540.008544922,,,,,,,,
Ukraine,2009,307540.008544922,,,,,,,,
Ukraine,2008,362709.991455078,,,,,,,,
Ukraine,2007,373760.009765625,,,,,,,,
Ukraine,2006,364579.986572266,,,,,,,,
Ukraine,2005,357350.006103516,,,,,,,,
Ukraine,2004,370500.0,,,,,,,,
Ukraine,2003,396459.991455078,,,,,,,,
Ukraine,2002,371570.007324219,,,,,,,,
Ukraine,2001,366970.001220703,,,,,,,,
Ukraine,2000,365959.991455078,,,,,,,,
Ukraine,1999,376869.995117188,,,,,,,,
Ukraine,1998,383369.995117188,,,,,,,,
Ukraine,1997,411369.995117188,,,,,,,,
Ukraine,1996,435390.014648438,,,,,,,,
Ukraine,1995,495959.991455078,,,,,,,,
Ukraine,1994,519559.997558594,,,,,,,,
Ukraine,1993,609390.014648438,,,,,,,,
Ukraine,1992,692869.995117188,,,,,,,,
Ukraine,1991,782500.0,,,,,,,,
Ukraine,1990,824830.0,,,,,,,,
South Africa,2020,,,,,,,,,
South Africa,2019,555429.992675781,,,,,,,,
South Africa,2018,549650.024414063,,,,,,,,
South Africa,2017,550700.012207031,,,,,,,,
South Africa,2016,536190.002441406,,,,,,,,
South Africa,2015,536119.995117188,,,,,,,,
South Africa,2014,560859.985351563,,,,,,,,
South Africa,2013,548349.975585938,,,,,,,,
South Africa,2012,538549.987792969,,,,,,,,
South Africa,2011,518340.026855469,,,,,,,,
South Africa,2010,534119.995117188,,,,,,,,
South Africa,2009,511380.004882813,,,,,,,,
South Africa,2008,532450.012207031,,,,,,,,
South Africa,2007,499380.004882813,,,,,,,,
South Africa,2006,478429.992675781,,,,,,,,
South Africa,2005,475540.008544922,,,,,,,,
South Africa,2004,475519.989013672,,,,,,,,
South Africa,2003,446839.996337891,,,,,,,,
South Africa,2002,422989.990234375,,,,,,,,
South Africa,2001,407959.991455078,,,,,,,,
South Africa,2000,373950.012207031,,,,,,,,
South Africa,1999,369000.0,,,,,,,,
South Africa,1998,388529.998779297,,,,,,,,
South Africa,1997,381040.008544922,,,,,,,,
South Africa,1996,364609.985351563,,,,,,,,
South Africa,1995,354339.996337891,,,,,,,,
South Africa,1994,341459.991455078,,,,,,,,
South Africa,1993,334540.008544922,,,,,,,,
South Africa,1992,323970.001220703,,,,,,,,
South Africa,1991,327750.0,,,,,,,,
South Africa,1990,331660.0,,,,,,,,
Australia,2020,,46.2524798427461,,,,,,,
Australia,2019,,47.1237724290889,,,,,,,
Australia,2018,,46.6580950127535,,,,,,,
Australia,2017,,48.3406179391109,,,,,,,
Australia,2016,,44.5399257932247,,,,,,,
Australia,2015,,45.3144240657095,,,,,,,
Australia,2014,,48.7383986566523,,,,,,,
Australia,2013,,48.3937102169923,,,,,,,
Australia,2012,,50.3854314463116,,,,,,,
Australia,2011,,51.5628132199992,,,,,,,
Australia,2010,,48.9920987204353,,,,,,,
Australia,2009,,50.0184840477461,,,,,,,
Australia,2008,,50.6733660492301,,,,,,,
Australia,2007,,51.8536766332999,,,,,,,
Australia,2006,,53.27857542663,,,,,,,
Australia,2005,,53.3993725837314,,,,,,,
Australia,2004,,51.4046574593546,,,,,,,
Australia,2003,,57.2094294677375,,,,,,,
Australia,2002,,58.1856995951733,,,,,,,
Australia,2001,,59.3181729429988,,,,,,,
Australia,2000,,59.2881038230738,,,,,,,
Australia,1999,,59.056923056897,,,,,,,
Australia,1998,,60.3830883980058,,,,,,,
Australia,1997,,60.1685693086706,,,,,,,
Australia,1996,,60.5586868515939,,,,,,,
Australia,1995,,60.3189149082957,,,,,,,
Australia,1994,,61.0680395194148,,,,,,,
Australia,1993,,59.8905275763769,,,,,,,
Australia,1992,,60.6594379287453,,,,,,,
Australia,1991,,60.2400322819989,,,,,,,
Australia,1990,,60.4554625567864,,,,,,,
Azerbaijan,2020,,57.8382498850519,,,,,,,
Azerbaijan,2019,,57.8278123260822,,,,,,,
Azerbaijan,2018,,57.8253926004791,,,,,,,
Azerbaijan,2017,,57.7956013645932,,,,,,,
Azerbaijan,2016,,57.7355751784202,,,,,,,
Azerbaijan,2015,,57.7017529003303,,,,,,,
Azerbaijan,2014,,57.7005431692535,,,,,,,
Azerbaijan,2013,,57.7045451795933,,,,,,,
Azerbaijan,2012,,57.6870962278303,,,,,,,
Azerbaijan,2011,,57.691935444845,,,,,,,
Azerbaijan,2010,,57.6703445605885,,,,,,,
Azerbaijan,2009,,57.5790951562538,,,,,,,
Azerbaijan,2008,,57.5683493289119,,,,,,,
Azerbaijan,2007,,57.5645354536543,,,,,,,
Azerbaijan,2006,,57.5529121337899,,,,,,,
Azerbaijan,2005,,57.5683522864747,,,,,,,
Azerbaijan,2004,,57.5152409521966,,,,,,,
Azerbaijan,2003,,57.5255287228379,,,,,,,
Azerbaijan,2002,,57.4317945241957,,,,,,,
Azerbaijan,2001,,57.4500024211903,,,,,,,
Azerbaijan,2000,,57.3863567580655,,,,,,,
Azerbaijan,1999,,56.7365939181428,,,,,,,
Azerbaijan,1998,,56.3483849227362,,,,,,,
Azerbaijan,1997,,55.1413773627985,,,,,,,
Azerbaijan,1996,,54.3903288991432,,,,,,,
Azerbaijan,1995,,53.9445065311174,,,,,,,
Azerbaijan,1994,,53.9072545273201,,,,,,,
Azerbaijan,1993,,53.5539613300167,,,,,,,
Azerbaijan,1992,,53.4289868656645,,,,,,,
Azerbaijan,1991,,53.4289868656645,,,,,,,
Azerbaijan,1990,,53.4289868656645,,,,,,,
United Kingdom,2020,,71.3400491877816,,,,,,,
United Kingdom,2019,,72.4229988013062,,,,,,,
United Kingdom,2018,,71.7185202331253,,,,,,,
United Kingdom,2017,,72.1950667548465,,,,,,,
United Kingdom,2016,,71.7148836440293,,,,,,,
United Kingdom,2015,,70.8386723432398,,,,,,,
United Kingdom,2014,,71.2272144835283,,,,,,,
United Kingdom,2013,,71.3024428553714,,,,,,,
United Kingdom,2012,,71.020543132311,,,,,,,
United Kingdom,2011,,70.9461414458728,,,,,,,
United Kingdom,2010,,71.1941470673335,,,,,,,
United Kingdom,2009,,71.6116231967925,,,,,,,
United Kingdom,2008,,73.0955234985326,,,,,,,
United Kingdom,2007,,72.9425866986318,,,,,,,
United Kingdom,2006,,73.7320712602819,,,,,,,
United Kingdom,2005,,70.0863886248088,,,,,,,
United Kingdom,2004,,70.4790641921217,,,,,,,
United Kingdom,2003,,70.0863886248088,,,,,,,
United Kingdom,2002,,70.1690571652957,,,,,,,
United Kingdom,2001,,70.0739883437358,,,,,,,
United Kingdom,2000,,70.1194560410036,,,,,,,
United Kingdom,1999,,71.1734799322118,,,,,,,
United Kingdom,1998,,72.4093746124912,,,,,,,
United Kingdom,1997,,72.6863142231224,,,,,,,
United Kingdom,1996,,72.3101723639069,,,,,,,
United Kingdom,1995,,71.8348282561071,,,,,,,
United Kingdom,1994,,71.9588310668375,,,,,,,
United Kingdom,1993,,72.4755094448807,,,,,,,
United Kingdom,1992,,74.6910263299301,,,,,,,
United Kingdom,1991,,74.9927665027074,,,,,,,
United Kingdom,1990,,75.2407721241681,,,,,,,
India,2020,,60.2198569213538,,,,,,,
India,2019,,60.2198133654425,,,,,,,
India,2018,,60.2435646561437,,,,,,,
India,2017,,60.2839387997403,,,,,,,
India,2016,,60.3990999566123,,,,,,,
India,2015,,60.4317248477225,,,,,,,
India,2014,,60.4495508191538,,,,,,,
India,2013,,60.4394606466455,,,,,,,
India,2012,,60.4206256579633,,,,,,,
India,2011,,60.4300431523044,,,,,,,
India,2010,,60.3974182611942,,,,,,,
India,2009,,60.5639061075814,,,,,,,
India,2008,,60.4593046525785,,,,,,,
India,2007,,60.4132261981239,,,,,,,
India,2006,,60.5094191760365,,,,,,,
India,2005,,60.5834137744308,,,,,,,
India,2004,,60.6671622062499,,,,,,,
India,2003,,60.6247834817149,,,,,,,
India,2002,,60.7293849367178,,,,,,,
India,2001,,60.7048321836142,,,,,,,
India,2000,,60.8689656564162,,,,,,,
India,1999,,60.8844372542623,,,,,,,
India,1998,,60.8349954089715,,,,,,,
India,1997,,60.8709836909178,,,,,,,
India,1996,,60.7391387701425,,,,,,,
India,1995,,60.8588754839079,,,,,,,
India,1994,,60.9752488068371,,,,,,,
India,1993,,61.0058556634457,,,,,,,
India,1992,,60.9799575540076,,,,,,,
India,1991,,61.0744688365022,,,,,,,
India,1990,,61.0162821750376,,,,,,,
"Iran, Islamic Rep.",2020,,28.975654853621,,,,,,,
"Iran, Islamic Rep.",2019,,28.975654853621,,,,,,,
"Iran, Islamic Rep.",2018,,28.9152542372881,,,,,,,
"Iran, Islamic Rep.",2017,,28.6194144838213,,,,,,,
"Iran, Islamic Rep.",2016,,28.2141015250866,,,,,,,
"Iran, Islamic Rep.",2015,,28.2141015250866,,,,,,,
"Iran, Islamic Rep.",2014,,28.2141015250866,,,,,,,
"Iran, Islamic Rep.",2013,,28.2141015250866,,,,,,,
"Iran, Islamic Rep.",2012,,28.3932562194553,,,,,,,
"Iran, Islamic Rep.",2011,,28.4833861342371,,,,,,,
"Iran, Islamic Rep.",2010,,28.5735160490189,,,,,,,
"Iran, Islamic Rep.",2009,,28.6636459638007,,,,,,,
"Iran, Islamic Rep.",2008,,28.6629092070041,,,,,,,
"Iran, Islamic Rep.",2007,,29.51509123505,,,,,,,
"Iran, Islamic Rep.",2006,,29.3794051916796,,,,,,,
"Iran, Islamic Rep.",2005,,29.2437191483091,,,,,,,
"Iran, Islamic Rep.",2004,,39.5920823202927,,,,,,,
"Iran, Islamic Rep.",2003,,39.4563962769223,,,,,,,
"Iran, Islamic Rep.",2002,,39.3207102335519,,,,,,,
"Iran, Islamic Rep.",2001,,39.1850241901815,,,,,,,
"Iran, Islamic Rep.",2000,,38.6085119968565,,,,,,,
"Iran, Islamic Rep.",1999,,39.1015250865689,,,,,,,
"Iran, Islamic Rep.",1998,,39.7768854834353,,,,,,,
"Iran, Islamic Rep.",1997,,39.1905498661558,,,,,,,
"Iran, Islamic Rep.",1996,,39.5558584444608,,,,,,,
"Iran, Islamic Rep.",1995,,39.4214003290847,,,,,,,
"Iran, Islamic Rep.",1994,,39.39008816523,,,,,,,
"Iran, Islamic Rep.",1993,,39.3870183452442,,,,,,,
"Iran, Islamic Rep.",1992,,39.162921486284,,,,,,,
"Iran, Islamic Rep.",1991,,38.6778899285346,,,,,,,
"Iran, Islamic Rep.",1990,,37.7587858247992,,,,,,,
Kuwait,2020,,8.41750841750842,,,,,,,
Kuwait,2019,,8.41750841750842,,,,,,,
Kuwait,2018,,8.41750841750842,,,,,,,
Kuwait,2017,,8.49607182940516,,,,,,,
Kuwait,2016,,8.41750841750842,,,,,,,
Kuwait,2015,,8.38383838383838,,,,,,,
Kuwait,2014,,8.53535353535353,,,,,,,
Kuwait,2013,,8.61952861952862,,,,,,,
Kuwait,2012,,8.5297418630752,,,,,,,
Kuwait,2011,,8.55780022446689,,,,,,,
Kuwait,2010,,8.5297418630752,,,,,,,
Kuwait,2009,,8.5016835016835,,,,,,,
Kuwait,2008,,8.47362514029181,,,,,,,
Kuwait,2007,,8.47362514029181,,,,,,,
Kuwait,2006,,8.41750841750842,,,,,,,
Kuwait,2005,,8.41750841750842,,,,,,,
Kuwait,2004,,8.41750841750842,,,,,,,
Kuwait,2003,,8.47362514029181,,,,,,,
Kuwait,2002,,8.47362514029181,,,,,,,
Kuwait,2001,,8.47362514029181,,,,,,,
Kuwait,2000,,8.30527497194164,,,,,,,
Kuwait,1999,,8.08080808080808,,,,,,,
Kuwait,1998,,8.02469135802469,,,,,,,
Kuwait,1997,,8.02469135802469,,,,,,,
Kuwait,1996,,8.02469135802469,,,,,,,
Kuwait,1995,,7.9685746352413,,,,,,,
Kuwait,1994,,7.9685746352413,,,,,,,
Kuwait,1993,,7.9685746352413,,,,,,,
Kuwait,1992,,7.91245791245791,,,,,,,
Kuwait,1991,,7.91245791245791,,,,,,,
Kuwait,1990,,7.91245791245791,,,,,,,
New Zealand,2020,,38.5629106376514,,,,,,,
New Zealand,2019,,39.2882913675895,,,,,,,
